suburb,count
ADELAIDE,66
ALBERT PARK,1
ALBURY,1
ALEXANDRIA,3
ALICE SPRINGS,1
ALPHINGTON,3
ARMIDALE,1
ARTARMON,6
BALCATTA,3
BALLARAT,2
BARANGAROO,12
BARTON,7
BATHURST,1
BAYSWATER,1
BEDFORD PARK,1
BELCONNEN,1
BELLA VISTA,10
BELMONT,1
BENDIGO,4
BENTLEIGH EAST,4
BENTLEY,2
BLACK MOUNTAIN,8
BONDI JUNCTION,3
BOORAGOON,10
BOWEN HILLS,3
BOX HILL,8
BRISBANE,218
BROAD MEADOWS,2
BUNDOORA,13
BURWOOD EAST,6
CADIA,2
CAMBERWELL,4
CAMPERDOWN,8
CANBERRA,173
CARLTON,3
CARNEGIE,1
CHADSTONE,1
CHATSWOOD,12
CHELTENHAM,2
CHERMSIDE,5
CHIPPENDALE,3
CLAYTON,5
COFFS HARBOUR,1
COLLINGWOOD,6
CREMORNE,2
CROWS NEST,3
DANDENONG,2
DARLINGHURST,6
DARLINGTON,1
DARWIN,6
DAYBORO,4
DERWENT PARK,1
DOCKLANDS,17
DONCASTER,7
DONCASTER EAST,1
DURAL,1
EAST MELBOURNE,4
EAST PERTH,4
EASTWOOD,3
EDINBURGH,2
EIGHT MILE PLAINS,6
EPPING,3
ESSENDON FIELDS,1
EVELEIGH,5
FAIRFIELD,1
FITZROY,3
FOOTSCRAY,5
FORTITUDE VALLEY,2
FREMANTLE,1
FRENCHS FOREST,1
GATTON,1
GEELONG,12
GLEBE,2
GREYTHORN,3
GRIFFITH,2
HARMAN,1
HASTINGS,2
HAWTHORN EAST,4
HERSTON,4
HINDMARSH,1
HOBART,1
JOONDALUP,1
KENSINGTON,4
KENT TOWN,3
KEWDALE,3
KINGSCLIFF,1
LANE COVE,1
LAUNCESTON,6
LAWNTON,1
LEEDERVILLE,2
LIVERPOOL,1
LUCAS HEIGHTS,1
MACQUARIE PARK,10
MASCOT,5
MATRAVILLE,3
MELBOURNE,670
MILE END,1
MILTON,5
MINCHINBURY,1
MITCHAM,4
MOONEE PONDS,10
MOUNT WAVERLEY,1
MULGRAVE,4
MURDOCH,2
NEDLANDS,1
NEWCASTLE,10
NEWSTEAD,1
NORTH PARRAMATTA,2
NORTH RYDE,24
NORTH SYDNEY,41
NORTHBRIDGE,4
NOTTING HILL,1
OAKLEIGH SOUTH,2
OSBORNE,1
PARKSIDE,5
PARKVILLE,5
PARRAMATTA,23
PEREGIAN BEACH,1
PERTH,146
PERTH AIRPORT,1
PHILLIP,3
POORAKA,1
PORT MELBOURNE,6
POTT SHILL,1
PYRMONT,5
RANDWICK,2
REDFERN,1
RICHMOND,11
RIVERVIEW,1
ROCKLEA,1
ROSEWORTHY,1
RUSSELL,2
RYDALMERE,2
SHEPPARTON,1
SOUTHBANK,3
SOUTH MELBOURNE,1
SOUTH PORT,1
ST KILDA,9
ST LEONARDS,26
ST LUCIA,10
STIRLING,1
SUBIACO,2
SURRY HILLS,76
SYDNEY,989
SYDNEY OLYMPIC PARK,2
SYMONSTON,3
TAMWORTH,1
TARINGA,1
THEBARTON,1
THE GAP,1
TOOWONG,8
TOOWOOMBA,1
TOWNSVILLE,4
TULLAMARINE,4
ULTIMO,4
WACOL,2
WARABROOK,2
WATERLOO,2
WEMBLEY,1
WEST END,1
WEST MELBOURNE,1
WESTMEAD,11
WEST PERTH,2
WILLIAMS LANDING,2
WOLLONGONG,2
WOODVILLE PARK,1
WOOLLOOMOOLOO,1
WOOLLOONGABBA,1
WYONG,1
